order,variable,static/serial,variable type,variable type 2,category,notes,descrip
76,VAS,serial,ordered categorical/continuous,2,serial observation,,visual analogue pain scale 1-100
77,woundlength,serial,continuous,0,serial observation,,wound length
78,vomiting,serial,binary,1,serial observation,,vomiting category
79,respvent,serial,binary,1,serial observation,,ventilator category
80,antibiotics,serial,binary,1,serial observation,,antibiotics category
81,distbiiliacal,serial,continuous,0,serial observation,,distance biiliacal
82,hematoma,serial,binary,1,serial observation,,hematoma category
83,reoperationcat,serial,binary,1,serial observation,,reoperation category
84,NGtube,serial,binary,1,serial observation,,nasogastric tube
85,circumfSIAS,serial,continuous,0,serial observation,,circumference abdominal
86,pulse,serial,continuous,0,serial observation,,pulse
87,RRDIA,serial,continuous,0,serial observation,,diastolic RR
88,RRSYS,serial,continuous,0,serial observation,,systolic RR
89,masscat,serial,binary,1,serial observation,,wound mass palpable category
90,seroma,serial,binary,1,serial observation,,seroma category
91,TEMP,serial,continuous,0,serial observation,,tympanic temperature
92,Ileus,serial,binary,1,serial observation,,suspicion ileus
93,woundcult,serial,binary,1,serial observation,,wound culture previous 24h
94,tempwound,serial,continuous,0,serial observation,,wound temp
95,XiphoidosPubis,serial,continuous,0,serial observation,,distance xiphoid bone pubic bone
96,temp1cmmean,serial,continuous,0,serial observation,,wound temp 1 cm mean
97,pt-wound,serial,continuous,0,serial observation,derived,TEMP - tempwound
98,1cm-wound,serial,continuous,0,serial observation,derived,temp1cm - tempwound
99,supssi,,binary,1,outcome,,superficial SSI
100,t_sup,,continuous,0,outcome,,day of superficial SSI
101,deepssi,,binary,1,outcome,,deep SSI
102,t_deep,,continuous,0,outcome,,day of deep SSI
103,organspacessi,,binary,1,outcome,,organ space SSI
104,t_organ,,continuous,0,outcome,,day of organ space SSI
105,wounddatamax,,continuous,0,outcome,derived,last day of wound data (typeslough and/or typeexudate was recorded)
106,postdc,,binary,1,outcome,derived,indicator of post-discharge infection (t_anyssi>wounddatamax)
107,indic,,categorical,1,outcome,derived,"indicator of SSI (0=none,1=in-hospital,2=post-discharge)"
108,indicbinary,,binary,1,outcome,derived,"indicator of SSI (0=none or post-discharge, 1=in-hospital)"
109,t_firstinhospitalssi,,continuous,0,outcome,derived,day of first inhospital ssi
110,dayofpred,,continuous,0,outcome,derived,"postopday of prediction (before ssi patients, 1 day before SSI; for non-ssi patients, similar matched day)"
